t_s,timestamp_us,x_m,y_m,z_m,yaw_rad,qx,qy,qz,qw,vx_mps,beta_rad,yaw_rate_radps
0.0,0,0.951065719127655,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.51065731048584,0.0,0.0
0.1,100000,1.90213143825531,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.51065731048584,0.0,0.0
0.2,200000,2.8531970977783203,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.51065731048584,0.0,0.0
0.30000000000000004,300000,3.80426287651062,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.51065731048584,0.0,0.0
0.4,400000,4.75532865524292,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.51065731048584,0.0,0.0
0.5,500000,5.706394195556641,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.51065731048584,0.0,0.0
0.6000000000000001,600000,6.657459735870361,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.51065731048584,0.0,0.0
0.7000000000000001,700000,7.608525276184082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.51065731048584,0.0,0.0
0.8,800000,8.559591293334961,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.51065731048584,0.0,0.0
0.9,900000,9.51065731048584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.51065731048584,0.0,0.0
1.0,1000000,10.461723327636719,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.51065731048584,0.0,0.0
1.1,1100000,11.412789344787598,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.51065731048584,0.0,0.0
1.2000000000000002,1200000,12.363855361938477,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.51065731048584,0.0,0.0
1.3,1300000,13.314921379089355,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.51065731048584,0.0,0.0
1.4000000000000001,1400000,14.265987396240234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.51065731048584,0.0,0.0
1.5,1500000,15.217053413391113,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.51065731048584,0.0,0.0
