t,x,y,psi,vx,beta,r,ay_est,s,ey,epsi,v_target,delta_cmd,ax_cmd_requested,ax_cmd_control_limited,ax_cmd,ax_control_limit,ax_actual_limit,friction_usage_actual,control_mu,actual_mu,inside,goal,speed_limit,x_ref,y_ref,delta_eff,dvx_pred,beta_dot_res,r_dot_res,v_cmd,phase
0.0,0.9510657,0.0,0.0,9.510657,0.0,0.0,0.0,1.0,0.0,0.0,9.51065730815848,0.0,0.0,0.0,0.0,1.9620000000000002,1.9620000000000002,0.0,0.2,0.2,1.0,0.0,11.11111111111111,1.0,0.0,0.0,0.0,0.0,0.0,9.51065730815848,approach
0.1,1.9021314,0.0,0.0,9.510657,0.0,0.0,0.0,2.0,0.0,0.0,9.51065730815848,0.0,0.0,0.0,0.0,1.9620000000000002,1.9620000000000002,0.0,0.2,0.2,1.0,0.0,11.11111111111111,2.0,0.0,0.0,0.0,0.0,0.0,9.51065730815848,approach
0.2,2.853197,0.0,0.0,9.510657,0.0,0.0,0.0,3.0,0.0,0.0,9.51065730815848,0.0,0.0,0.0,0.0,1.9620000000000002,1.9620000000000002,0.0,0.2,0.2,1.0,0.0,11.11111111111111,3.0,0.0,0.0,0.0,0.0,0.0,9.51065730815848,approach
0.30000000000000004,3.8042629,0.0,0.0,9.510657,0.0,0.0,0.0,4.0,0.0,0.0,9.51065730815848,0.0,0.0,0.0,0.0,1.9620000000000002,1.9620000000000002,0.0,0.2,0.2,1.0,0.0,11.11111111111111,4.0,0.0,0.0,0.0,0.0,0.0,9.51065730815848,approach
0.4,4.7553287,0.0,0.0,9.510657,0.0,0.0,0.0,5.0,0.0,0.0,9.51065730815848,0.0,0.0,0.0,0.0,1.9620000000000002,1.9620000000000002,0.0,0.2,0.2,1.0,0.0,11.11111111111111,5.0,0.0,0.0,0.0,0.0,0.0,9.51065730815848,approach
0.5,5.706394,0.0,0.0,9.510657,0.0,0.0,0.0,5.5,0.0,0.0,9.51065730815848,0.0,0.0,0.0,0.0,1.9620000000000002,1.9620000000000002,0.0,0.2,0.2,1.0,0.0,11.11111111111111,5.5,0.0,0.0,0.0,0.0,0.0,9.51065730815848,approach
0.6000000000000001,6.6574597,0.0,0.0,9.510657,0.0,0.0,0.0,6.5,0.0,0.0,9.51065730815848,0.0,0.0,0.0,0.0,1.9620000000000002,1.9620000000000002,0.0,0.2,0.2,1.0,0.0,11.11111111111111,6.5,0.0,0.0,0.0,0.0,0.0,9.51065730815848,approach
0.7000000000000001,7.6085253,0.0,0.0,9.510657,0.0,0.0,0.0,7.5,0.0,0.0,9.51065730815848,0.0,0.0,0.0,0.0,1.9620000000000002,1.9620000000000002,0.0,0.2,0.2,1.0,0.0,11.11111111111111,7.5,0.0,0.0,0.0,0.0,0.0,9.51065730815848,approach
0.8,8.559591,0.0,0.0,9.510657,0.0,0.0,0.0,8.5,0.0,0.0,9.51065730815848,0.0,0.0,0.0,0.0,1.9620000000000002,1.9620000000000002,0.0,0.2,0.2,1.0,0.0,11.11111111111111,8.5,0.0,0.0,0.0,0.0,0.0,9.51065730815848,approach
0.9,9.510657,0.0,0.0,9.510657,0.0,0.0,0.0,9.5,0.0,0.0,9.51065730815848,0.0,0.0,0.0,0.0,1.9620000000000002,1.9620000000000002,0.0,0.2,0.2,1.0,0.0,11.11111111111111,9.5,0.0,0.0,0.0,0.0,0.0,9.51065730815848,approach
