t,x,y,psi,vx,beta,r,ay_est,s,ey,epsi,v_target,delta_cmd,ax_cmd_requested,ax_cmd_control_limited,ax_cmd,ax_control_limit,ax_actual_limit,friction_usage_actual,control_mu,actual_mu,inside,goal,speed_limit,x_ref,y_ref,delta_eff,dvx_pred,beta_dot_res,r_dot_res,v_cmd,phase
0.0,0.96311474,0.0,0.0,9.631147,0.0,0.0,0.0,1.0,0.0,0.0,9.631146998379247,0.0,0.0,0.0,0.0,8.829,1.9620000000000002,0.0,0.9,0.2,1.0,0.0,11.11111111111111,1.0,0.0,0.0,0.0,0.0,0.0,9.631146998379247,approach
0.1,1.9262295,0.0,0.0,9.631147,0.0,0.0,0.0,2.0,0.0,0.0,9.631146998379247,0.0,0.0,0.0,0.0,8.829,1.9620000000000002,0.0,0.9,0.2,1.0,0.0,11.11111111111111,2.0,0.0,0.0,0.0,0.0,0.0,9.631146998379247,approach
0.2,2.8893442,0.0,0.0,9.631147,0.0,0.0,0.0,3.0,0.0,0.0,9.631146998379247,0.0,0.0,0.0,0.0,8.829,1.9620000000000002,0.0,0.9,0.2,1.0,0.0,11.11111111111111,3.0,0.0,0.0,0.0,0.0,0.0,9.631146998379247,approach
0.30000000000000004,3.852459,0.0,0.0,9.631147,0.0,0.0,0.0,4.0,0.0,0.0,9.631146998379247,0.0,0.0,0.0,0.0,8.829,1.9620000000000002,0.0,0.9,0.2,1.0,0.0,11.11111111111111,4.0,0.0,0.0,0.0,0.0,0.0,9.631146998379247,approach
0.4,4.8155737,0.0,0.0,9.631147,0.0,0.0,0.0,5.0,0.0,0.0,9.631146998379247,0.0,0.0,0.0,0.0,8.829,1.9620000000000002,0.0,0.9,0.2,1.0,0.0,11.11111111111111,5.0,0.0,0.0,0.0,0.0,0.0,9.631146998379247,approach
0.5,5.7786884,0.0,0.0,9.631147,0.0,0.0,0.0,6.0,0.0,0.0,9.631146998379247,0.0,0.0,0.0,0.0,8.829,1.9620000000000002,0.0,0.9,0.2,1.0,0.0,11.11111111111111,6.0,0.0,0.0,0.0,0.0,0.0,9.631146998379247,approach
0.6000000000000001,6.741803,0.0,0.0,9.631147,0.0,0.0,0.0,6.5,0.0,0.0,9.631146998379247,0.0,0.0,0.0,0.0,8.829,1.9620000000000002,0.0,0.9,0.2,1.0,0.0,11.11111111111111,6.5,0.0,0.0,0.0,0.0,0.0,9.631146998379247,approach
0.7000000000000001,7.704918,0.0,0.0,9.631147,0.0,0.0,0.0,7.5,0.0,0.0,9.631146998379247,0.0,0.0,0.0,0.0,8.829,1.9620000000000002,0.0,0.9,0.2,1.0,0.0,11.11111111111111,7.5,0.0,0.0,0.0,0.0,0.0,9.631146998379247,approach
0.8,8.668033,0.0,0.0,9.631147,0.0,0.0,0.0,8.5,0.0,0.0,9.631146998379247,0.0,0.0,0.0,0.0,8.829,1.9620000000000002,0.0,0.9,0.2,1.0,0.0,11.11111111111111,8.5,0.0,0.0,0.0,0.0,0.0,9.631146998379247,approach
0.9,9.631147,0.0,0.0,9.631147,0.0,0.0,0.0,9.5,0.0,0.0,9.631146998379247,0.0,0.0,0.0,0.0,8.829,1.9620000000000002,0.0,0.9,0.2,1.0,0.0,11.11111111111111,9.5,0.0,0.0,0.0,0.0,0.0,9.631146998379247,approach
