trial,assumed_mu,actual_mu,control_mu,score,feasible,goal_reached,final_time,max_abs_ey,max_abs_beta,max_vx,max_abs_ax,max_abs_jerk,max_abs_delta,max_abs_steer_rate,max_friction_usage,friction_pen,v_straight,v_turn,brake_buffer_m,accel_buffer_m,lookahead_m,ky,kpsi,kv
0,0.9,0.9,0.9,14663.591511886852,0,1,27.1,0.30520068926593374,0.11999999731779099,10.3384428024292,2.9707228048646965,3.6560907521927417,0.5235987755982988,0.785398163397451,0.38555530760809753,0.0,10.338442806002023,2.823628082396495,22.342095866314025,31.003743991305576,3.168467197058847,0.9269714990004769,1.2328612739480993,1.0869826214723044
1,0.9,0.9,0.9,207006936.65842676,0,1,22.8,8.189208984375,0.11666133254766464,9.891180992126465,1.955430269241333,4.090957343578353,0.5235987755982988,0.7853981633974514,0.4789101251633019,0.0,9.891180860002464,6.686483867128459,7.533054343205525,12.553779309853418,4.194397789205767,0.10448549748458756,1.3414170425883027,0.6888219275851841
2,0.9,0.9,0.9,4739924784.1651,0,1,28.400000000000002,29.957427978515625,0.11999999731779099,10.752376556396484,2.7071483931592955,5.04969723202727,0.5235987755982988,0.7853981633974493,0.48713896823406344,0.0,10.751566173929954,4.725531465421977,22.548713521705594,29.374930476074162,6.902913176557294,1.1976699187015323,0.6810351703576708,1.6166564708734987
3,0.9,0.9,0.9,1180030.7987966358,0,1,24.400000000000002,1.210174560546875,0.11999999731779099,10.58144474029541,5.0,6.000000000000027,0.5235987755982988,0.785398163397451,0.5663154868823778,0.0,10.58044186217077,3.807347629097894,14.130510802524427,29.666458248805895,2.2632227639518714,0.5960674172602913,1.932999749187173,1.6150639617337108
4,0.9,0.9,0.9,1019326566.1629934,0,1,27.6,17.047592163085938,0.11999999731779099,9.647611618041992,3.193933759892065,4.133881446719363,0.5235987755982988,0.7853981633974502,0.5033057646368213,0.0,9.647611302272086,4.114573435796969,12.387196965608911,20.582976825302136,2.4852319792156443,0.7467960406482499,0.7777340677737393,0.9254808108806806
5,0.9,0.9,0.9,467838662.49814403,0,1,26.200000000000003,8.875343322753906,0.11999999731779099,9.073063850402832,3.4783090539511115,6.000000000000023,0.5235987755982988,0.785398163397451,0.54678405805367,0.0,9.073047813238217,5.893750697052832,6.819697761394587,8.914980623321442,3.666496479629626,0.5669491128361326,2.069197456151513,1.5348444286851715
6,0.9,0.9,0.9,3391456317.1316524,0,1,30.0,21.935379028320312,0.11999999731779099,8.89769172668457,3.0171892642974854,5.572369638258177,0.5235987755982988,0.7853981633974496,0.4877100957511087,0.0,8.89769191938582,5.005424130546107,10.067738086292156,19.86000688406178,5.968884597210893,1.0481274716648914,1.3726824880096362,1.4413488763247024
7,0.9,0.9,0.9,1972455760.8741539,0,1,29.200000000000003,17.07787322998047,0.11999999731779099,8.917119026184082,2.5899819052423827,3.9039023508719075,0.5235987755982988,0.7853981633974498,0.45561577149557164,0.0,8.91711907158807,4.922733564355872,10.225879916421604,21.3592329372996,6.304447279933794,0.6461888184453745,0.8944584679813891,0.9994237304629641
8,0.9,0.9,0.9,2585917462.4021416,0,1,25.200000000000003,24.018218994140625,0.11999999731779099,10.932190895080566,2.74234387280016,5.008772658288372,0.5235987755982988,0.785398163397451,0.5204647408610488,0.0,10.932191309110404,5.811869482091762,17.04718855165162,32.05842634240917,5.572599735508835,0.7866121360925796,1.5642278161825636,1.1117203801219553
9,0.9,0.9,0.9,1983812826.845071,0,1,25.900000000000002,18.76727294921875,0.11999999731779099,9.96965217590332,2.663033833639935,3.9630117698345897,0.5235987755982988,0.7853981633974514,0.4842241137564927,0.0,9.969652306493721,5.700076215068067,14.974234127352448,19.558243754210878,4.78962025114684,0.868672251048555,2.266983067423549,1.3899053400203292
