s_m,x_m,y_m,z_m,yaw_rad,curvature_1pm
0.0,29.871564865112305,-64.40917205810547,0.0,3.141183858362466,0.0
1.0000000817526564,28.871564865112305,-64.40876770019531,0.0,3.141183858362466,0.0
2.0000001666194223,27.871564865112305,-64.40835571289062,0.0,3.141183858362466,0.0
3.0000002483720785,26.871564865112305,-64.40795135498047,0.0,3.141183858362466,0.0
3.9999965185419026,25.87156867980957,-64.40753936767578,0.0,3.141183858362466,0.0
4.999996600294559,24.87156867980957,-64.40713500976562,0.0,3.141183858362466,0.0
5.999996685161325,23.87156867980957,-64.40672302246094,0.0,3.141183858362466,0.0
6.999996770028091,22.87156867980957,-64.40631103515625,0.0,3.141183858362466,0.0
7.999996851780748,21.87156867980957,-64.4059066772461,0.0,3.141183858362466,0.0
8.999996936647513,20.87156867980957,-64.4054946899414,0.0,3.141183858362466,0.0
9.999997018400169,19.87156867980957,-64.40509033203125,0.0,3.141183858362466,0.0
10.999997103266935,18.87156867980957,-64.40467834472656,0.0,3.141183858362466,0.0
11.999997185019591,17.87156867980957,-64.4042739868164,0.0,3.141183858362466,0.0
12.999997269886357,16.87156867980957,-64.40386199951172,0.0,3.141183858362466,0.0
13.999997351639013,15.87156867980957,-64.40345764160156,0.0,3.141183858362466,0.0
14.99999743650578,14.87156867980957,-64.40304565429688,0.0,3.141183858362466,0.0
15.999997518258436,13.87156867980957,-64.40264129638672,0.0,3.141183858362466,0.0
16.999997603125202,12.87156867980957,-64.40222930908203,0.0,3.141183858362466,0.0
17.999997687991968,11.87156867980957,-64.40181732177734,0.0,3.141183858362466,0.0
18.999997769744624,10.87156867980957,-64.40141296386719,0.0,3.141183858362466,0.0
19.99999785461139,9.87156867980957,-64.4010009765625,0.0,3.141183858362466,0.0
20.999997936364046,8.87156867980957,-64.40059661865234,0.0,3.141183858362466,0.0
21.999997544393693,7.8715691566467285,-64.40018463134766,0.0,3.141183858362466,0.0009095341999566272
22.997220448315687,6.8743462562561035,-64.4002685546875,0.0,3.143000400542009,0.0026075057799052896
23.991312469692218,5.880259037017822,-64.40335845947266,0.0,3.1463762235397934,0.0033957514114926306
