t_s,timestamp_us,x_m,y_m,z_m,yaw_rad,qx,qy,qz,qw,vx_mps,beta_rad,yaw_rate_radps
0.0,0,28.868735516418003,-64.40876210623107,0.0,3.141183858362466,0.0,0.0,0.9999999791108078,0.00020439761224047028,10.02829360961914,0.0,0.0
0.1,100000,27.8659061677237,-64.40835215435666,0.0,3.141183858362466,0.0,0.0,0.9999999791108078,0.00020439761224047028,10.02829360961914,6.457734684772731e-07,5.067467554908944e-06
0.2,200000,26.86307693797394,-64.40794285013156,0.0,3.14118436510921,0.0,0.0,0.9999999791625647,0.0002041442388736954,10.02829360961914,-1.414634880347876e-07,2.9159511996112997e-06
0.30000000000000004,300000,25.860247469920612,-64.40753326452518,0.0,3.141184656704296,0.0,0.0,0.9999999791923178,0.00020399844133380372,10.02829360961914,3.0733787070857943e-07,4.873492798651569e-06
0.4,400000,24.857418001563754,-64.40712442141016,0.0,3.1411851440535075,0.0,0.0,0.9999999792419973,0.00020375476673304145,10.02829360961914,-3.8748896713514114e-07,9.199638952850364e-07
0.5,500000,23.854588533291956,-64.40671537023047,0.0,3.1411852360499197,0.0,0.0,0.9999999792513686,0.00020370876852786313,10.02829360961914,1.7061859125533374e-07,2.212497747677844e-06
0.6000000000000001,600000,22.851759064753644,-64.4063069709943,0.0,3.14118545729974,0.0,0.0,0.9999999792738977,0.00020359814362003593,10.02829360961914,-4.6637848072350607e-07,-1.8704490685195196e-06
0.7000000000000001,700000,21.84893007322288,-64.40589815502932,0.0,3.1411852702548786,0.0,0.0,0.9999999792548524,0.0002036916660487853,10.02829360961914,-9.829280998019385e-07,-9.13472831598483e-06
0.8,800000,20.846100605143448,-64.40548863328397,0.0,3.141184356782047,0.0,0.0,0.9999999791617147,0.00020414840245508821,10.02829360961914,8.678398444317281e-08,-6.627641596423928e-06
0.9,900000,19.84327113699996,-64.40507926821995,0.0,3.1411836940178532,0.0,0.0,0.9999999790940086,0.0002044797845450458,10.02829360961914,-1.9818389773718081e-07,-7.0841324486536905e-06
1.0,1000000,18.840441669245,-64.40466895274272,0.0,3.1411829856045856,0.0,0.0,0.9999999790215178,0.00020483399117142927,10.02829360961914,5.489303021022351e-07,-1.5199707377178129e-06
1.1,1100000,17.837612201474172,-64.40425867607587,0.0,3.1411828336075005,0.0,0.0,0.9999999790059478,0.0002049099897124046,10.02829360961914,2.0037305148434825e-10,-1.4160334558255272e-06
1.2000000000000002,1200000,16.834782733990608,-64.4038476966994,0.0,3.1411826920041777,0.0,0.0,0.9999999789914373,0.00020498079137234025,10.02829360961914,6.342464189401653e-07,3.8009077343303943e-06
1.3,1300000,15.831953266305169,-64.40343721115893,0.0,3.141183072094974,0.0,0.0,0.999999979030375,0.00020479074597824394,10.02829360961914,2.3776465241098776e-08,3.1639622193324612e-06
1.4000000000000001,1400000,14.82912379871417,-64.40302649458751,0.0,3.141183388491213,0.0,0.0,0.99999997906276,0.00020463254786206558,10.02829360961914,5.828730422763329e-07,7.1949034463614225e-06
1.5,1500000,13.826295284438501,-64.40261665637566,0.0,3.1411841079815574,0.0,0.0,0.9999999791363108,0.00020427280269726635,10.02829360961914,-1.1326420690238592e-07,4.9219097491004504e-06
1.6,1600000,12.823466770153258,-64.40220684158308,0.0,3.1411846001724926,0.0,0.0,0.9999999791865511,0.0002040267072348348,10.02829360961914,3.762778533200617e-07,7.072496373439208e-06
1.7000000000000002,1700000,11.82063825546555,-64.40179801130115,0.0,3.1411853074221754,0.0,0.0,0.9999999792586375,0.00020367308240077286,10.02829360961914,-3.5404292475504917e-07,2.989249423990259e-06
1.8,1800000,10.8178097407873,-64.40138915788305,0.0,3.1411856063471633,0.0,0.0,0.9999999792890678,0.00020352361990993377,10.02829360961914,0.0005893294583074749,0.004627126734703779
1.9000000000000001,1900000,9.81498098424469,-64.4015719560616,0.0,3.1416483190294557,0.0,0.0,0.9999999996126698,-2.7832719827656365e-05,10.02829360961914,0.001631416380405426,0.016478218138217926
2.0,2000000,8.81215351815582,-64.40326381054277,0.0,3.143296140802532,0.0,0.0,0.9999996372664365,-0.0008517435033841311,10.02829360961914,0.001515967189334333,0.025120195001363754
2.1,2100000,7.809329238567315,-64.40649236884293,0.0,3.145808160395801,0.0,0.0,0.9999977786886184,-0.0021077518423446755,10.02829360961914,0.00015444215387105942,0.021646151319146156
2.2,2200000,6.80651020938156,-64.41087466762374,0.0,3.1479727752483186,0.0,0.0,0.9999949117602679,-0.003190055418662781,10.02829360961914,-0.001060688286088407,0.009610618464648724
2.3000000000000003,2300000,5.803694605654682,-64.41620912693901,0.0,3.148933837281048,0.0,0.0,0.9999932633853151,-0.003670583603169385,10.02829360961914,-0.0017330788541585207,-0.005317886359989643
2.4000000000000004,2400000,4.800880790937016,-64.42183307000566,0.0,3.1484020488313136,0.0,0.0,0.9999942040226545,-0.0034046910429075374,10.02829360961914,-0.0015419168630614877,-0.016026150435209274
2.5,2500000,3.7980652085091484,-64.42711542741517,0.0,3.146799433601528,0.0,0.0,0.9999966111821527,-0.002603387065061948,10.02829360961914,-1.4565885066986084e-05,-0.012988362461328506
2.6,2600000,2.795249656934851,-64.43232231044954,0.0,3.1455005971691308,0.0,0.0,0.99999809099773,-0.001953970546289749,10.02829360961914,0.0020522945560514927,0.005321592092514038
2.7,2700000,1.7924376052110205,-64.43829937639644,0.0,3.14603275628525,0.0,0.0,0.9999975356870189,-0.0022200495240942563,10.02829360961914,0.0030378953088074923,0.027678092941641808
2.8000000000000003,2800000,0.7896363753852617,-64.44579846267467,0.0,3.148800565486282,0.0,0.0,0.9999935057577908,-0.003603948146586645,10.02829360961914,0.002092309994623065,0.0385468564927578
2.9000000000000004,2900000,-0.2131503426486148,-64.45512486580868,0.0,3.152655250949293,0.0,0.0,0.9999847024064605,-0.005531270474534855,10.02829360961914,0.0009255676995962858,0.038685452193021774
3.0,3000000,-1.2159076449660338,-64.46714666283431,0.0,3.15652379635486,0.0,0.0,0.9999721327513977,-0.007465502034093219,10.02829360961914,0.0009949072264134884,0.03967462107539177
3.1,3100000,-2.2186093410037597,-64.48311709692273,0.0,3.1604912593937216,0.0,0.0,0.9999553556695234,-0.009449162282278453,10.02829360961914,0.0012157249730080366,0.04220932349562645
3.2,3200000,-3.2212345524550217,-64.5032869780739,0.0,3.1647121921158132,0.0,0.0,0.999933186611311,-0.011559511812744266,10.02829360961914,-0.0002462570555508137,0.03277965635061264
3.3000000000000003,3300000,-4.223799859518534,-64.52622297159607,0.0,3.1679901570058164,0.0,0.0,0.9999128977411718,-0.013198368492090471,10.02829360961914,-0.002477511065080762,0.0078525859862566
3.4000000000000004,3400000,-5.22634270738067,-64.55020835141133,0.0,3.1687754146731195,0.0,0.0,0.999907638609292,-0.013590962099483747,10.02829360961914,-0.003961655311286449,-0.02386523224413395
3.5,3500000,-6.228900527601069,-64.5734930575469,0.0,3.1663888912624416,0.0,0.0,0.9999231443091465,-0.012397801212700602,10.02829360961914,-0.0037836392875760794,-0.04839102923870087
3.6,3600000,-7.231507033736223,-64.59456356515194,0.0,3.1615497875935135,0.0,0.0,0.9999502145133993,-0.009978401405372565,10.02829360961914,-0.0028077177703380585,-0.06115245819091797
3.7,3700000,-8.234188250391904,-64.61176066385363,0.0,3.1554345410293636,0.0,0.0,0.9999760503646119,-0.006920888468337423,10.02829360961914,-0.0016513175796717405,-0.06295269727706909
3.8000000000000003,3800000,-9.236943728330445,-64.62398542290804,0.0,3.1491392716741857,0.0,0.0,0.9999928810778825,-0.0037733000882275948,10.02829360961914,-0.0004608738236129284,-0.05543329566717148
3.9000000000000004,3900000,-10.239746704702169,-64.63109115131152,0.0,3.143595941921204,0.0,0.0,0.9999994983545246,-0.0010016439982153183,10.02829360961914,0.0007130620069801807,-0.04031286761164665
4.0,4000000,-11.242570778043117,-64.63381518427549,0.0,3.1395646548806426,0.0,0.0,0.9999994859026985,0.0010139991808105237,10.02829360961914,0.0017533986829221249,-0.019923310726881027
